transaction_id,date,product_category,product_name,quantity,price,total_amount,customer_id,region
1,2023-04-13,Home,Tools,1,423.39,423.39,89,South
2,2023-12-15,Home,Decor,4,490.78,1963.12,180,West
3,2023-09-28,Electronics,Smartwatch,1,398.64,398.64,200,South
4,2023-04-17,Clothing,Jacket,4,428.35,1713.4,61,East
5,2023-03-13,Clothing,T-Shirt,5,128.57,642.85,192,West
6,2023-07-08,Food,Dairy,4,480.71,1922.84,5,East
7,2023-01-21,Clothing,Jacket,2,106.49,212.98,122,North
8,2023-04-13,Electronics,Laptop,4,476.2,1904.8,181,West
9,2023-05-02,Home,Bedding,3,497.46,1492.38,55,East
10,2023-08-03,Clothing,Jeans,4,358.74,1434.96,37,West
11,2023-11-27,Food,Beverages,2,490.76,981.52,56,East
12,2023-03-29,Clothing,Shoes,2,289.07,578.14,187,West
13,2023-04-10,Electronics,Tablet,1,137.18,137.18,102,East
14,2023-12-26,Food,Snacks,5,224.13,1120.65,93,North
15,2023-06-01,Clothing,Jacket,4,300.84,1203.36,197,West
16,2023-05-11,Food,Fruits,1,45.81,45.81,73,West
17,2023-05-30,Electronics,Smartphone,5,314.95,1574.75,59,West
18,2023-11-05,Home,Tools,4,490.78,1963.12,2,West
19,2023-09-15,Electronics,Smartwatch,3,103.15,309.45,193,North
20,2023-12-10,Electronics,Headphones,4,398.37,1593.48,104,West
21,2023-10-21,Electronics,Tablet,2,454.87,909.74,188,South
22,2023-07-11,Electronics,Laptop,2,472.41,944.82,51,North
23,2023-10-04,Home,Decor,3,480.47,1441.41,30,South
24,2023-06-10,Home,Furniture,1,265.52,265.52,11,West
25,2023-11-10,Food,Dairy,5,488.88,2444.4,108,East
26,2023-01-22,Clothing,Jacket,4,381.08,1524.32,76,South
27,2023-09-10,Home,Cookware,2,89.22,178.44,167,West
28,2023-08-24,Home,Decor,1,243.68,243.68,90,South
29,2023-12-11,Clothing,Dress,3,361.98,1085.94,123,West
30,2023-02-18,Home,Tools,2,131.2,262.4,200,West
31,2023-02-28,Electronics,Smartwatch,3,323.9,971.7,191,West
32,2023-06-19,Electronics,Smartwatch,4,336.63,1346.52,192,East
33,2023-07-07,Clothing,Jacket,5,89.72,448.6,189,South
34,2023-09-28,Food,Bakery,2,286.89,573.78,125,North
35,2023-07-09,Food,Dairy,2,388.1,776.2,182,North
36,2023-06-24,Clothing,T-Shirt,4,254.46,1017.84,122,North
37,2023-02-20,Clothing,Shoes,1,15.93,15.93,94,North
38,2023-12-30,Electronics,Headphones,5,14.43,72.15,103,West
39,2023-02-24,Food,Dairy,2,184.94,369.88,186,South
40,2023-09-01,Home,Cookware,5,463.84,2319.2,184,South
41,2023-11-16,Electronics,Laptop,2,122.05,244.1,162,East
42,2023-05-11,Clothing,Dress,5,320.84,1604.2,31,South
43,2023-11-03,Food,Beverages,3,118.82,356.46,52,South
44,2023-05-15,Home,Tools,2,167.62,335.24,89,South
45,2023-01-21,Home,Furniture,5,425.54,2127.7,76,East
46,2023-11-25,Electronics,Smartphone,1,367.14,367.14,129,North
47,2023-06-16,Food,Snacks,3,56.75,170.25,183,South
48,2023-10-01,Food,Bakery,3,220.06,660.18,22,East
49,2023-03-30,Clothing,Jeans,1,24.29,24.29,40,East
50,2023-11-12,Food,Bakery,5,245.64,1228.2,101,West
51,2023-01-14,Food,Dairy,4,334.59,1338.36,111,East
52,2023-08-30,Electronics,Tablet,1,68.07,68.07,129,North
53,2023-09-22,Food,Snacks,5,151.55,757.75,65,South
54,2023-12-12,Home,Cookware,1,204.94,204.94,191,East
55,2023-02-22,Electronics,Smartwatch,1,460.57,460.57,182,North
56,2023-12-06,Electronics,Smartwatch,2,496.69,993.38,170,East
57,2023-04-02,Clothing,Jacket,5,32.01,160.05,149,East
58,2023-09-21,Food,Beverages,4,382.89,1531.56,79,East
59,2023-02-04,Clothing,Dress,2,192.14,384.28,22,East
60,2023-07-25,Home,Furniture,1,202.3,202.3,166,East
61,2023-03-22,Electronics,Smartwatch,1,379.59,379.59,99,North
62,2023-02-19,Electronics,Tablet,1,460.03,460.03,8,South
63,2023-12-26,Electronics,Smartwatch,5,475.96,2379.8,190,South
64,2023-01-02,Home,Decor,5,292.79,1463.95,175,South
65,2023-02-23,Home,Bedding,2,184.99,369.98,17,South
66,2023-04-16,Clothing,Jacket,4,395.9,1583.6,17,North
67,2023-09-17,Clothing,Dress,2,132.99,265.98,90,West
68,2023-11-06,Clothing,T-Shirt,3,286.4,859.2,141,West
69,2023-07-10,Food,Snacks,1,185.7,185.7,145,North
70,2023-08-06,Electronics,Tablet,1,331.75,331.75,166,North
71,2023-02-13,Electronics,Tablet,1,127.8,127.8,81,East
72,2023-06-11,Clothing,Dress,2,103.88,207.76,78,East
73,2023-07-21,Electronics,Smartphone,2,459.94,919.88,173,East
74,2023-09-27,Clothing,T-Shirt,1,59.88,59.88,6,South
75,2023-12-17,Food,Bakery,2,257.92,515.84,163,East
76,2023-10-31,Food,Fruits,5,118.22,591.1,110,West
77,2023-09-28,Home,Tools,5,29.08,145.4,14,South
78,2023-08-03,Food,Beverages,2,27.65,55.3,72,East
