文件名,答题序号,用户ID,用户昵称,提交时间,省份,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
答卷_1.docx,未知,未知,未知,未知,未知,2005-2009年,1500元以下,几乎不喝,知道部分,完全认同，感到自豪,学习门槛高（如复杂仪式、专业术语）; 缺乏便捷的体验机会,自己日常饮用; 送礼(如给长辈、朋友),聚会/社交场合,不确定，视具体产品和心情而定,联名潮牌的限量版茶礼盒(价格中等，兼具文化与潮流),茶味零食(如茶味巧克力、薯片); 茶主题数字藏品(NFT); 可食用茶粉(直接冲饮或烹饪),可能会尝试,非常愿意，觉得很有意义,将茶器设计成潮玩手办; 用茶文化故事制作动画/漫画; 开发茶文化主题游戏或数字体验; 举办融合现代艺术的茶主题展览/快闪,可以尝试，但更关注里面茶叶的品质,偶尔这么想，但主要还是因为好喝或习惯
答卷_10.docx,未知,未知,未知,未知,未知,2005-2009年,1500元以下,几乎不喝,知道部分,完全认同，感到自豪,学习门槛高（如复杂仪式、专业术语）; 缺乏便捷的体验机会; 感觉与现代生活脱节; 缺乏有趣的内容和传播方式; 父母/老师等长辈未主动引导,自己日常饮用; 送礼(如给长辈、朋友); 社交分享（如拍照打卡）; 缓解压力/提神,聚会/社交场合,不确定，视具体产品和心情而定,手工制作的古法茶饼（价格高，文化附加值高),茶味零食(如茶味巧克力、薯片); 茶香护肤品（如面膜、香薰); 茶主题数字藏品(NFT); 可食用茶粉(直接冲饮或烹饪),一定会，很感兴趣,非常愿意，觉得很有意义,将茶器设计成潮玩手办; 用茶文化故事制作动画/漫画; 开发茶文化主题游戏或数字体验,可以尝试，但更关注里面茶叶的品质,是的，有意识地为健康(如提神、解腻、放松）而喝茶
答卷_100.docx,未知,未知,未知,未知,未知,2005-2009年,3001-5000元,偶尔喝（每周1-2次）,知道部分,完全认同，感到自豪,缺乏便捷的体验机会,自己日常饮用; 缓解压力/提神,学习/工作时需要提神,优先选择高品质产品，愿意为此支付更高价格,机器生产的便携茶包（价格低，方便快捷),茶味零食(如茶味巧克力、薯片),一定会，很感兴趣,非常愿意，觉得很有意义,开发茶文化主题游戏或数字体验; 举办融合现代艺术的茶主题展览/快闪,非常感兴趣，愿意尝试购买,是的，有意识地为健康(如提神、解腻、放松）而喝茶
答卷_101.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,经常喝(每周3次及以上),知道部分,完全认同，感到自豪,学习门槛高（如复杂仪式、专业术语）; 父母/老师等长辈未主动引导,自己日常饮用; 送礼(如给长辈、朋友); 社交分享（如拍照打卡）,学习/工作时需要提神,优先选择高品质产品，愿意为此支付更高价格,无明显偏好,茶味零食(如茶味巧克力、薯片),一定会，很感兴趣,非常愿意，觉得很有意义,将茶器设计成潮玩手办; 开发茶文化主题游戏或数字体验,非常感兴趣，愿意尝试购买,是的，有意识地为健康(如提神、解腻、放松）而喝茶
答卷_102.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,经常喝(每周3次及以上),知道部分,完全认同，感到自豪,缺乏便捷的体验机会; 缺乏有趣的内容和传播方式,自己日常饮用; 社交分享（如拍照打卡）; 缓解压力/提神,学习/工作时需要提神,不确定，视具体产品和心情而定,机器生产的便携茶包（价格低，方便快捷),茶味零食(如茶味巧克力、薯片); 茶香护肤品（如面膜、香薰); 茶主题数字藏品(NFT); 可食用茶粉(直接冲饮或烹饪),一定会，很感兴趣,非常愿意，觉得很有意义,将茶器设计成潮玩手办; 用茶文化故事制作动画/漫画; 开发茶文化主题游戏或数字体验; 举办融合现代艺术的茶主题展览/快闪,非常感兴趣，愿意尝试购买,是的，有意识地为健康(如提神、解腻、放松）而喝茶
答卷_103.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,经常喝(每周3次及以上),知道部分,部分认同，但认为需要与时俱进,缺乏便捷的体验机会; 缺乏有趣的内容和传播方式,自己日常饮用; 送礼(如给长辈、朋友); 缓解压力/提神,学习/工作时需要提神,不确定，视具体产品和心情而定,手工制作的古法茶饼（价格高，文化附加值高),茶味零食(如茶味巧克力、薯片); 可食用茶粉(直接冲饮或烹饪),不感兴趣,不太愿意，觉得对方可能不感兴趣,将茶器设计成潮玩手办; 用茶文化故事制作动画/漫画; 开发茶文化主题游戏或数字体验; 举办融合现代艺术的茶主题展览/快闪,非常感兴趣，愿意尝试购买,偶尔这么想，但主要还是因为好喝或习惯
答卷_104.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,偶尔喝（每周1-2次）,完全知道并能区分,部分认同，但认为需要与时俱进,缺乏便捷的体验机会,送礼(如给长辈、朋友),学习/工作时需要提神,优先选择高品质产品，愿意为此支付更高价格,手工制作的古法茶饼（价格高，文化附加值高),可食用茶粉(直接冲饮或烹饪),可能会尝试,愿意，但仅限熟悉或感兴趣的人,开发茶文化主题游戏或数字体验,非常感兴趣，愿意尝试购买,是的，有意识地为健康(如提神、解腻、放松）而喝茶
答卷_105.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,偶尔喝（每周1-2次）,知道部分,部分认同，但认为需要与时俱进,缺乏便捷的体验机会,自己日常饮用; 送礼(如给长辈、朋友); 缓解压力/提神,学习/工作时需要提神,不确定，视具体产品和心情而定,联名潮牌的限量版茶礼盒(价格中等，兼具文化与潮流),茶香护肤品（如面膜、香薰),可能会尝试,不太愿意，觉得对方可能不感兴趣,用茶文化故事制作动画/漫画,可以尝试，但更关注里面茶叶的品质,偶尔这么想，但主要还是因为好喝或习惯
答卷_106.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,偶尔喝（每周1-2次）,知道部分,完全认同，感到自豪,学习门槛高（如复杂仪式、专业术语）; 缺乏便捷的体验机会,自己日常饮用; 送礼(如给长辈、朋友),看到促销活动或内容“种草”,不确定，视具体产品和心情而定,无明显偏好,茶味零食(如茶味巧克力、薯片); 茶香护肤品（如面膜、香薰),一定会，很感兴趣,不太愿意，觉得对方可能不感兴趣,将茶器设计成潮玩手办; 开发茶文化主题游戏或数字体验; 举办融合现代艺术的茶主题展览/快闪,非常感兴趣，愿意尝试购买,是的，有意识地为健康(如提神、解腻、放松）而喝茶
答卷_107.docx,未知,未知,未知,未知,未知,2005-2009年,1500-3000元,偶尔喝（每周1-2次）,知道部分,完全认同，感到自豪,学习门槛高（如复杂仪式、专业术语）; 缺乏便捷的体验机会,自己日常饮用; 送礼(如给长辈、朋友),看到促销活动或内容“种草”,不确定，视具体产品和心情而定,无明显偏好,茶味零食(如茶味巧克力、薯片); 茶香护肤品（如面膜、香薰),一定会，很感兴趣,不太愿意，觉得对方可能不感兴趣,将茶器设计成潮玩手办; 开发茶文化主题游戏或数字体验; 举办融合现代艺术的茶主题展览/快闪,非常感兴趣，愿意尝试购买,是的，有意识地为健康(如提神、解腻、放松）而喝茶
